"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","elevation","soil_moisture"
0,"2020-01-15 09:20:41.049396","Casino","New South Wales",9968,-28.4329890451537,152.424169231434,"N",0,18.9,4.6,96,87,0,0.4373,553,0.0922930389642715
0,"2020-08-24 09:46:30.397411",NA,NA,NA,-32.9569227053794,143.788114633411,"D",0,7.8,9.2,72,100,0,0.3576,78,0.14781266450882
0,"2020-06-07 08:53:26.318124",NA,NA,NA,-27.2115467852926,149.293815627983,"N",0,13.6,8.7,78,65,0,0.2935,324,0.144442349672318
0,"2020-02-27 20:49:41.319168",NA,NA,NA,-24.55140262028,131.63924204578,"D",0,25.9,27.4,32,0,0,0.1562,600,0.0317115373909473
0,"2020-09-16 09:42:03.016535","Mareeba","Queensland",8585,-15.6745886409113,144.68561991698,"N",0,20.1,21.9,88,27,0,0.545,390,0.122156038880348
0,"2020-08-09 08:54:58.828289",NA,NA,NA,-28.2329655522423,130.787377932259,"N",0,10.7,18.2,70,0,0,0.171,429,0.0408170223236084
0,"2020-10-13 20:25:37.639679","Cobar","New South Wales",3369,-32.6243279652101,145.753740193134,"N",0,26.1,10.4,32,0,0,0.4049,211,0.0971786826848984
0,"2020-05-31 10:07:49.799971",NA,NA,NA,-24.0856518846044,133.782335813285,"N",0,14.4,8.2,55,1,0,0.1696,586,0.0361884795129299
0,"2020-01-19 21:34:19.21225",NA,NA,NA,-31.2765301792706,129.33232766741,"N",0,18,7.2,66,14,0,0.159,120,0.0719519183039665
0,"2020-10-27 10:16:38.32887","Canowindra","New South Wales",1451,-33.0714646798181,148.76786931146,"D",0,11.1,19.4,83,21,0,0.7896,546,0.109708726406097
0,"2020-07-19 21:24:54.868759",NA,NA,NA,-25.2764220788409,145.188191348303,"D",0,12.9,11.5,41,0,0,0.2237,308,0.182821065187454
0,"2020-03-17 21:09:58.24823",NA,NA,NA,-16.0406360980527,135.110844789703,"N",0,26.7,9.7,76,4,0,0.3793,165,0.160774499177933
0,"2020-02-03 20:17:34.922051",NA,NA,NA,-31.0330962243874,118.371613900981,"D",0,25.8,20.3,32,0,0,0.154,328,0.0245393868535757
0,"2020-09-01 06:30:24.099996",NA,NA,NA,-24.8502763337802,120.945591820996,"D",0,23.3,17.7,35,0,0,0.1798,586,0.0414420329034328
0,"2020-10-23 20:51:23.870785",NA,NA,NA,-25.9147863918967,138.409000347354,"N",0,22.1,24.8,56,45,0,0.2209,39,0.0618610382080078
0,"2020-06-20 22:01:06.839319",NA,NA,NA,-30.2149892003397,133.041038195106,"N",0,10.4,16.6,77,100,0,0.2286,160,0.0550101324915886
0,"2020-02-24 19:02:53.220845",NA,NA,NA,-29.1901860007609,120.807378142567,"N",0,25.4,21.6,47,4,0,0.2131,466,0.0797196254134178
0,"2020-11-09 09:23:46.955104",NA,NA,NA,-17.8631272212554,129.462528611837,"D",0,31.4,9.9,19,5,0,0.2438,407,0.159488469362259
0,"2020-03-18 20:10:56.932081",NA,NA,NA,-19.3021141276679,134.68247926464,"D",0,28.2,4.5,46,0,0,0.182,250,0.0981465801596642
